id,customer_id,region,device,amount_cents,event_ts
1,2529,APAC,ios,9670,1700000860
2,1600,NA,ios,2158,1700001656
3,1270,NA,web,5646,1700001908
4,3541,NA,web,21186,1700002569
5,1030,EU,web,10069,1700002492
6,1230,EU,android,3019,1700002427
7,1121,EU,web,3429,1700001751
8,1132,NA,ios,9074,1700002109
9,1763,NA,android,4246,1700002280
10,1900,NA,ios,4209,1700002579
11,19421,NA,android,1164,1700001612
12,2287,EU,ios,5039,1700002358
13,22060,EU,web,9747,1700000847
14,1294,APAC,web,1123,1700001551
15,1948,APAC,web,10394,1700001000
16,1036,APAC,android,3407,1700001448
17,1954,APAC,web,7089,1700003194
18,2054,APAC,web,51089,1700002446
19,1148,APAC,web,11889,1700002513
20,1145,EU,android,6528,1700002600
21,1139,NA,android,2281,1700001781
22,1515,NA,android,14302,1700002193
23,1034,NA,android,7762,1700001728
24,24412,NA,ios,3934,1700002298
25,1764,EU,web,8360,1700003042
26,2023,APAC,android,8632,1700002373
27,1338,EU,android,8379,1700003220
28,5055,APAC,web,4791,1700003581
29,1086,NA,ios,21668,1700001248
30,1001,NA,ios,2920,1700003395
31,3114,APAC,android,13411,1700003525
32,1292,APAC,web,6179,1700003577
33,1956,EU,android,3249,1700002720
34,1338,EU,ios,2276,1700003972
35,4324,NA,web,14105,1700003001
36,2696,APAC,ios,31762,1700001402
37,5267,EU,ios,5102,1700001521
38,2426,MEA,android,4732,1700002444
39,1990,NA,web,4615,1700004034
40,1494,EU,ios,4812,1700002102
41,1422,LATAM,web,3063,1700001262
42,1847,APAC,web,8988,1700002936
43,3750,NA,ios,36411,1700002053
44,1357,APAC,android,9223,1700003046
45,3706,APAC,ios,36814,1700003666
46,1526,NA,android,15126,1700003220
47,1484,NA,web,1923,1700002874
48,1199,EU,web,6036,1700002458
49,1124,NA,web,1437,1700001562
50,1362,NA,web,16083,1700003626
51,2702,EU,ios,17169,1700002778
52,1958,NA,ios,3550,1700003284
53,1279,EU,android,7242,1700001213
54,4430,EU,web,2964,1700002997
55,2847,APAC,web,6980,1700002903
56,9522,EU,ios,31886,1700004103
57,2924,EU,web,6164,1700003993
58,1301,APAC,web,8658,1700002382
